Id,Age,WorkingCondition,FinalWeight,Education,YearsOfEducation,MaritalStatus,Occupation,Relationship,Ethnicity,Gender,InvestmentGains,InvestmentLosses,WeeklyWorkHours,CountryOfOrigin,MonthlyIncome
4794,29,Private,226941,College,10,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,55,United-States,0
17687,31,Private,206046,HighSchoolGraduate,9,Divorced,MachinesOperationInspector,NotInFamily,White,Male,0,0,40,United-States,0
316,67,,53588,HighSchoolGraduate,9,Widowed,,NotInFamily,White,Female,0,0,40,United-States,0
14911,35,StateGovernment,172475,Bachelors,13,NeverMarried,ExecutiveManagerial,NotInFamily,AsianPacificIslander,Female,2977,0,45,United-States,0
24231,30,,147215,College,10,NeverMarried,,OwnChild,White,Female,0,0,30,United-States,0
1916,26,Private,359543,Bachelors,13,NeverMarried,AdministrativeClerk,OwnChild,White,Female,0,0,40,Mexico,0
33338,61,Private,359367,College,10,Divorced,ExecutiveManagerial,NotInFamily,White,Female,0,0,40,United-States,0
16444,41,Private,297186,HighSchoolGraduate,9,MarriedCivilianSpouse,TransportMoving,Wife,White,Female,0,0,40,United-States,0
13552,62,Private,319582,HighSchoolGraduate,9,Widowed,Sales,NotInFamily,White,Female,0,0,32,United-States,0
27845,31,Private,198103,HighSchoolGraduate,9,NeverMarried,MachinesOperationInspector,OwnChild,White,Male,0,0,40,United-States,0
26866,28,Private,119545,College,10,MarriedCivilianSpouse,ExecutiveManagerial,OwnChild,White,Male,7688,0,50,United-States,1
10715,69,SelfEmployedNotIncluded,505365,College,10,MarriedCivilianSpouse,Sales,Husband,White,Male,6514,0,45,United-States,1
11752,58,Private,234481,10th,6,MarriedCivilianSpouse,TransportMoving,Husband,White,Male,0,0,40,United-States,0
6657,43,SelfEmployedIncluded,155293,Bachelors,13,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,60,United-States,1
6363,27,Private,215014,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
13714,48,Private,194772,AssociatesAcademy,12,MarriedCivilianSpouse,Sales,Husband,White,Male,0,1902,40,United-States,1
24089,38,LocalGovernment,745768,College,10,Divorced,ExecutiveManagerial,Unmarried,Black,Female,0,0,45,United-States,0
21548,21,Private,275421,College,10,NeverMarried,CraftRepair,OwnChild,White,Female,0,0,40,United-States,0
10462,40,Private,134026,11th,7,NeverMarried,OtherService,OtherRelative,White,Male,0,0,40,United-States,0
8605,41,Private,63105,HighSchoolGraduate,9,NeverMarried,CraftRepair,NotInFamily,White,Male,0,0,42,United-States,1
25580,27,Private,159623,College,10,MarriedCivilianSpouse,Sales,Husband,White,Male,0,0,40,United-States,0
14721,43,Private,206927,Bachelors,13,MarriedCivilianSpouse,Sales,Husband,White,Male,15024,0,50,United-States,1
13973,67,SelfEmployedIncluded,127605,Masters,14,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,20051,0,60,Italy,1
15489,23,Private,182342,College,10,NeverMarried,CraftRepair,OwnChild,White,Male,0,0,40,Italy,0
2814,32,StateGovernment,111363,ProfessionalSchool,15,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,0,0,75,United-States,1
11098,34,Private,30497,Bachelors,13,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,15024,0,60,United-States,1
27408,42,Private,108506,HighSchoolGraduate,9,MarriedCivilianSpouse,TransportMoving,Husband,AmericanIndianEskimo,Male,0,0,60,United-States,0
27276,22,Private,43535,College,10,MarriedCivilianSpouse,ExecutiveManagerial,Wife,White,Female,0,0,40,United-States,0
11128,32,,134886,HighSchoolGraduate,9,MarriedCivilianSpouse,,Wife,White,Female,0,0,2,United-States,1
20387,21,Private,180690,College,10,NeverMarried,OtherService,OwnChild,White,Male,0,0,40,United-States,0
12158,33,,177733,7th-8th,4,NeverMarried,,NotInFamily,White,Female,0,0,30,United-States,0
28537,41,SelfEmployedNotIncluded,233130,HighSchoolGraduate,9,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,45,Mexico,0
5197,64,Private,108054,HighSchoolGraduate,9,Widowed,TransportMoving,NotInFamily,White,Male,0,0,22,United-States,0
6548,24,Private,162282,HighSchoolGraduate,9,NeverMarried,CraftRepair,NotInFamily,White,Male,0,0,40,United-States,0
31642,55,Private,221801,5th-6th,3,MarriedCivilianSpouse,MachinesOperationInspector,Husband,White,Male,0,0,40,United-States,0
28050,44,,136419,10th,6,MarriedCivilianSpouse,,Husband,White,Male,0,0,40,United-States,0
26256,28,Private,217530,College,10,NeverMarried,ExecutiveManagerial,NotInFamily,White,Male,0,0,35,United-States,0
33475,38,Private,126755,7th-8th,4,MarriedCivilianSpouse,TransportMoving,Husband,White,Male,0,0,45,United-States,0
33001,17,Private,186677,11th,7,NeverMarried,HandlersCleaners,OwnChild,White,Male,0,0,12,United-States,0
7509,26,Private,224563,Bachelors,13,NeverMarried,AdministrativeClerk,NotInFamily,White,Male,0,0,40,United-States,0
26574,43,SelfEmployedIncluded,221172,ProfessionalSchool,15,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,0,1977,40,United-States,1
876,31,Private,33124,ProfessionalSchool,15,NeverMarried,ProfessionalSpecialty,NotInFamily,White,Female,0,0,99,United-States,0
27136,27,Private,164607,Bachelors,13,MarriedCivilianSpouse,OtherService,Husband,White,Male,0,0,40,United-States,0
3994,69,StateGovernment,159191,College,10,Widowed,AdministrativeClerk,NotInFamily,White,Female,0,810,38,United-States,0
24408,76,Private,152839,HighSchoolGraduate,9,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,0,0,20,United-States,0
19474,26,FederalGovernment,269353,AssociatesVocationalSchool,11,NeverMarried,AdministrativeClerk,NotInFamily,Other,Male,0,0,55,United-States,0
29679,40,Private,173858,7th-8th,4,MarriedCivilianSpouse,OtherService,Husband,AsianPacificIslander,Male,0,0,42,Cambodia,0
7583,19,Private,127709,HighSchoolGraduate,9,NeverMarried,FarmingFishing,OwnChild,Black,Male,0,0,30,United-States,0
13019,33,LocalGovernment,33727,Masters,14,MarriedCivilianSpouse,ProfessionalSpecialty,Wife,White,Female,0,0,40,United-States,0
12910,46,Private,330087,Bachelors,13,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,55,United-States,1
29071,44,Private,53470,Bachelors,13,Divorced,OtherService,OwnChild,White,Female,0,0,40,United-States,0
19637,17,Private,232713,10th,6,NeverMarried,CraftRepair,NotInFamily,White,Male,594,0,30,United-States,0
8080,59,Private,108496,Masters,14,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,45,United-States,1
22480,46,Private,145041,Bachelors,13,Divorced,MachinesOperationInspector,OtherRelative,White,Male,0,2258,50,Dominican-Republic,0
18099,52,Private,232132,12th,8,MarriedCivilianSpouse,MachinesOperationInspector,Husband,White,Male,0,0,45,United-States,1
17477,49,FederalGovernment,110373,College,10,MarriedCivilianSpouse,TechSupport,Husband,White,Male,0,0,40,United-States,1
18649,41,Private,144460,College,10,Divorced,MachinesOperationInspector,OwnChild,White,Male,0,0,40,Italy,0
6441,52,,248113,PreSchool,1,MarriedAbsentSpouse,,OtherRelative,White,Male,0,0,40,Mexico,0
22136,42,Private,219155,Bachelors,13,MarriedCivilianSpouse,Sales,Husband,White,Male,15024,0,50,United-States,1
10017,31,Private,100333,11th,7,NeverMarried,MachinesOperationInspector,NotInFamily,White,Female,0,0,36,United-States,0
26225,18,Private,88440,HighSchoolGraduate,9,MarriedCivilianSpouse,Sales,Wife,White,Female,0,0,36,United-States,0
14638,51,LocalGovernment,106365,AssociatesAcademy,12,Divorced,AdministrativeClerk,Unmarried,White,Female,0,0,40,United-States,0
11205,32,Private,141490,AssociatesVocationalSchool,11,Divorced,ExecutiveManagerial,Unmarried,White,Female,0,0,50,United-States,0
27325,23,Private,347873,AssociatesAcademy,12,NeverMarried,ProfessionalSpecialty,NotInFamily,AsianPacificIslander,Female,0,0,30,Vietnam,0
1388,26,Private,333541,HighSchoolGraduate,9,NeverMarried,OtherService,NotInFamily,White,Male,0,0,24,United-States,0
11792,23,Private,864960,10th,6,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,0
24968,75,Private,188612,HighSchoolGraduate,9,Widowed,AdministrativeClerk,NotInFamily,White,Female,0,0,40,United-States,0
21456,45,Private,738812,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,46,United-States,0
16422,35,Private,187119,Bachelors,13,Divorced,Sales,NotInFamily,White,Female,0,1980,65,United-States,0
9314,34,Private,110554,HighSchoolGraduate,9,Divorced,Sales,OwnChild,White,Female,0,0,35,United-States,0
5441,51,Private,224763,7th-8th,4,MarriedCivilianSpouse,TransportMoving,Husband,White,Male,0,0,40,Cuba,0
29799,21,Private,391312,HighSchoolGraduate,9,NeverMarried,OtherService,NotInFamily,Black,Female,0,0,30,United-States,0
14278,27,Private,60288,Masters,14,NeverMarried,Sales,OwnChild,White,Female,0,0,40,United-States,0
23273,45,Private,166636,HighSchoolGraduate,9,Divorced,OtherService,OtherRelative,Black,Female,0,0,35,United-States,0
16758,37,LocalGovernment,75387,HighSchoolGraduate,9,MarriedCivilianSpouse,OtherService,Husband,White,Male,0,0,40,United-States,0
20820,25,Private,169905,HighSchoolGraduate,9,NeverMarried,CraftRepair,OwnChild,White,Male,0,0,40,United-States,0
20547,40,Private,408717,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,40,United-States,1
2770,41,SelfEmployedNotIncluded,154374,College,10,Divorced,OtherService,Unmarried,White,Male,0,0,45,United-States,0
33211,79,FederalGovernment,62176,Doctorate,16,Widowed,ExecutiveManagerial,NotInFamily,White,Male,0,0,6,United-States,1
11567,34,Private,149507,HighSchoolGraduate,9,MarriedCivilianSpouse,CraftRepair,Husband,White,Male,0,0,55,United-States,1
17462,30,Private,166961,Bachelors,13,NeverMarried,ProfessionalSpecialty,OwnChild,White,Female,0,0,37,United-States,0
29710,60,Private,139391,College,10,MarriedAbsentSpouse,MachinesOperationInspector,NotInFamily,White,Male,0,0,50,United-States,1
17790,47,Private,160474,HighSchoolGraduate,9,MarriedCivilianSpouse,ExecutiveManagerial,Wife,White,Female,0,0,30,United-States,1
8630,23,Private,192978,HighSchoolGraduate,9,MarriedCivilianSpouse,HandlersCleaners,Husband,White,Male,0,0,40,United-States,0
350,32,FederalGovernment,115066,HighSchoolGraduate,9,MarriedCivilianSpouse,TechSupport,Husband,White,Male,0,0,40,United-States,0
32235,44,Private,172032,AssociatesVocationalSchool,11,MarriedCivilianSpouse,AdministrativeClerk,Husband,White,Male,7298,0,51,United-States,1
28285,38,FederalGovernment,143123,Masters,14,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,40,United-States,1
20870,49,StateGovernment,269417,Doctorate,16,NeverMarried,ExecutiveManagerial,NotInFamily,White,Female,0,2258,50,United-States,1
2310,23,Private,353010,11th,7,NeverMarried,CraftRepair,Unmarried,White,Male,0,0,35,United-States,0
21094,52,Private,117674,HighSchoolGraduate,9,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,55,United-States,1
16738,53,SelfEmployedNotIncluded,98829,Bachelors,13,MarriedCivilianSpouse,ProfessionalSpecialty,Husband,White,Male,0,0,50,United-States,0
9723,34,SelfEmployedNotIncluded,173201,Masters,14,NeverMarried,ProfessionalSpecialty,OwnChild,White,Male,0,0,50,Cuba,0
24851,20,Private,444554,10th,6,NeverMarried,HandlersCleaners,OwnChild,White,Male,0,0,40,United-States,0
18120,36,Private,188069,College,10,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,50,United-States,1
27343,69,,254834,Bachelors,13,MarriedCivilianSpouse,,Husband,White,Male,10605,0,10,United-States,1
7443,31,Private,251659,College,10,MarriedCivilianSpouse,OtherService,Husband,AsianPacificIslander,Male,0,1485,55,,1
168,37,Private,77820,Bachelors,13,MarriedCivilianSpouse,ExecutiveManagerial,Husband,White,Male,0,0,50,United-States,1
15879,25,Private,265618,HighSchoolGraduate,9,Separated,ProtectiveServices,OwnChild,Black,Male,0,0,40,United-States,0
22811,39,Private,230467,Bachelors,13,NeverMarried,Sales,OwnChild,White,Male,0,0,40,Germany,0
19923,21,SelfEmployedNotIncluded,87169,HighSchoolGraduate,9,NeverMarried,FarmingFishing,OwnChild,AsianPacificIslander,Male,0,0,35,United-States,0
1645,25,Private,25386,AssociatesVocationalSchool,11,NeverMarried,OtherService,Unmarried,AmericanIndianEskimo,Female,0,0,40,United-States,0
1060,27,Private,207631,5th-6th,3,NeverMarried,MachinesOperationInspector,NotInFamily,White,Female,0,0,52,Mexico,0
26504,29,Private,173652,College,10,NeverMarried,AdministrativeClerk,OwnChild,White,Female,0,0,40,United-States,0
